in_100,rank,character,slug,born,died,canonical_age,variant_ages,status_or_reason,breakthrough,title_and_hook,narrative_arc
"YES","1","Euclid","euclid","c. 300 BCE","","48","28 65","","Formulated axiomatic geometry; authored The Elements.","""The 2,300-Year-Old Book That Controlled Einstein’s Brain""","The Hook: For centuries, mastering Euclid's 29th proposition was the baseline requirement for an educated mind. The Story: Show how a single textbook written in ancient Alexandria became the literal operating system for every physical structure built by humanity, directly tracking its downstream influence on Abraham Lincoln and Albert Einstein."
"YES","2","Archimedes","archimedes","287 BCE","212 BCE","55","30 72","","Pioneered foundational mechanics, hydrostatics, and early calculus.","""The Ancient Genius Who Built Death Rays and Scared the Roman Empire""","The Hook: The perfect blend of high science and historical warfare. The Story: Walk through his discoveries in levers and buoyancy, culminating in the Siege of Syracuse where his mechanical claws lifted Roman warships from the sea. Ends with his tragic death at his desk, telling an invading soldier, ""Don't disturb my circles."""
"YES","3","Al-Khwarizmi","al_khwarizmi","c. 780","c. 850","45","28 65","","Formalized algebra; revolutionized the positional Hindu-Arabic numeral system.","""The Forgotten Math Genius Who Unlocked Your Smartphone""","The Hook: Visually contrast the agonizingly slow process of doing long division with Roman numerals versus the fluid speed of base-10 mathematics. The Story: Take the audience into Baghdad's House of Wisdom to show how his book Al-Jabr laid the absolute computational tracks for modern software code."
"YES","4","Ibn al-Haytham","ibn_al_haytham","965","1040","45","30 31 68","","Invented the camera obscura; established the experimental scientific method.","""The Prisoner Who Invented the Scientific Method to Save His Life""","The Hook: A psychological thriller. The Story: He faked madness to avoid execution by a volatile Caliph in Cairo and was placed under house arrest for a decade. In a pitch-black room, he noticed light passing through a tiny pinhole, proving how human vision works and establishing that all texts must be tested by rigorous experiment."
"YES","5","Johannes Gutenberg","johannes_gutenberg","1400","1468","48","30 31 65","","Developed the movable-type printing press, sparking an information explosion.","""The Fake Jewelry Scam That Accidentally Created the Modern World""","The Hook: High economic stakes and desperation. The Story: Gutenberg was a bankrupt goldsmith running a secret, heavily indebted operation while hiding his prototypes from creditors. Show how his mechanical press collapsed the time to copy a book from 1 year down to 20 seconds, permanently democratizing human literacy."
"YES","6","Nicolaus Copernicus","nicolaus_copernicus","1473","1543","42","30 31 70","","Formulated the heliocentric model, shifting the center of astronomy.","""The Book That Destroyed the Center of the Universe""","The Hook: The internal psychological tension of holding a dangerous, world-shattering truth. The Story: A quiet cathedral administrator who calculated planetary math in his spare time. Knowing his theory would cause institutional chaos, he hid his manuscript for three decades, only holding the printed copy on his deathbed."
"YES","7","Galileo Galilei","galileo_galilei","1564","1642","45","28 34 70","","Combined telescope optics with empirical physical experimentation.","""The Man Who Saw the Truth and Was Forced to Deny It""","The Hook: A dramatic war of ideas and dogma. The Story: Galileo points his crude telescope at Jupiter, discovers moons orbiting another body, and shatters prevailing worldviews. The climax follows his trial before the Inquisition—old, blind, and forced to recant under threat of torture, while muttering, ""And yet, it moves."""
"YES","8","Antoni van Leeuwenhoek","antoni_van_leeuwenhoek","1632","1723","48","31 32 75","","Hand-crafted hyper-powerful single-lens microscopes; discovered bacteria.","""The Fabric Salesman Who Found an Invisible World in His Mouth""","The Hook: A lesson in obsessive, uneducated genius. The Story: A self-taught draper who figured out how to grind glass beads into lenses that blew away the Royal Society's equipment. He examined a drop of lake water and his own dental plaque, becoming the first human to see microscopic life (""animalcules"")."
"YES","9","William Gilbert","william_gilbert","1544","1603","48","29 32 58","","Founded the study of magnetism and electricity; proved Earth is a magnet.","""The Queen’s Doctor Who Discovered the Earth’s Secret Power""","The Hook: Stripping the mysticism away from nature. The Story: He rejected the medieval belief that magnets were ""alive"" or possessed magical healing properties. Serving as Queen Elizabeth I’s personal physician, he used his wealth to build a miniature magnetic Earth (terrella) to map navigation, creating the structural framework for Michael Faraday centuries later."
"YES","10","Isaac Newton","isaac_newton","1643","1727","46","14 25 40 68","","Integrated all prior physics via the Laws of Motion, Gravitation, and Calculus.","""The Bitter, Lonely Genius Who Solved Gravity to Win an Argument""","The Hook: The highest ProgressRank node of the entire 3,000-year window, driven by a vindictive, isolated mind. The Story: Forced home to his farm by a pandemic outbreak, 23-year-old Newton invented calculus and optics in 18 months. Later, sparked by a bitter rivalry with Robert Hooke, he weaponized his math to write the Principia and permanently redefine the universe."
